project_id	source_in_public_repo	github_project_path
glasslab-glassmorphism-main-glassmorphism-main	True	projects/glasslab-glassmorphism-main-glassmorphism-main
glasslab-glass-refraction-master-1-glass-refraction-master	True	projects/glasslab-glass-refraction-master-1-glass-refraction-master
glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla	True	projects/glasslab-glass-refraction-master-1-glass-refraction-master-examples-vanilla
glasslab-css-glass-main-css-glass-main	True	projects/glasslab-css-glass-main-css-glass-main
glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	True	projects/glasslab-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src
glasslab-glass-model-1-glass-model-src	True	projects/glasslab-glass-model-1-glass-model-src
glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	True	projects/glasslab-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src
glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	True	projects/glasslab-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src
glasslab-7-css-main-7-css-main	True	projects/glasslab-7-css-main-7-css-main
glasslab-liquid-glass-main-liquid-glass-main	True	projects/glasslab-liquid-glass-main-liquid-glass-main
glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main	True	projects/glasslab-7-aero-stylesheet-main-7-aero-stylesheet-main
glasslab-glass-button-css-only-1-glass-button-css-only-src	True	projects/glasslab-glass-button-css-only-1-glass-button-css-only-src
glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	True	projects/glasslab-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src
glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src	True	projects/glasslab-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src
glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	True	projects/glasslab-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src
glasslab-liquidgl-main-liquidgl-main	True	projects/glasslab-liquidgl-main-liquidgl-main
glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla	True	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-vanilla
glasslab-frontend-projects-main-frontend-projects-main-css-if-function	True	projects/glasslab-frontend-projects-main-frontend-projects-main-css-if-function
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront	True	projects/glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-custom-storefront
glasslab-frontend-projects-main-frontend-projects-main-tictactoe	True	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe
glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public	True	projects/glasslab-frontend-projects-main-frontend-projects-main-tictactoe-public
glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project	True	projects/glasslab-frontend-projects-main-frontend-projects-main-prime-vue-project
glasslab-frontend-projects-main-frontend-projects-main-vuetify-project	True	projects/glasslab-frontend-projects-main-frontend-projects-main-vuetify-project
glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch	True	projects/glasslab-frontend-projects-main-frontend-projects-main-weeklyhow-instantsearch
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app	True	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client	True	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client
glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public	True	projects/glasslab-frontend-projects-main-frontend-projects-main-task-manager-app-client-public
glasslab-frontend-projects-main-frontend-projects-main-liquid-glass-vue	True	projects/glasslab-frontend-projects-main-frontend-projects-main-liquid-glass-vue
glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app	True	projects/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app
glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public	True	projects/glasslab-frontend-projects-main-frontend-projects-main-advanced-javascript-class-word-guess-game-app-public
glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch	True	projects/glasslab-frontend-projects-main-frontend-projects-main-movie-instantsearch
glasslab-liquid-glass-effect-liquid-glass-effect-src	True	projects/glasslab-liquid-glass-effect-liquid-glass-effect-src
glasslab-liquid-glass-menu-liquid-glass-menu-src	True	projects/glasslab-liquid-glass-menu-liquid-glass-menu-src
glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src	True	projects/glasslab-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-press-starthot-wheels-aerial-pursuit-liquid-glass-navigation-src
glasslab-glass-like-css-1-glass-like-css-src	True	projects/glasslab-glass-like-css-1-glass-like-css-src
glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src	True	projects/glasslab-liquid-glass-cubiq-liquid-glass-cubiq-src
glasslab-svg-liquid-glass-1-svg-liquid-glass-src	True	projects/glasslab-svg-liquid-glass-1-svg-liquid-glass-src
glasslab-liquid-glass-6-liquid-glass-src	True	projects/glasslab-liquid-glass-6-liquid-glass-src
glasslab-ios-liquid-glass-ios-liquid-glass-src	True	projects/glasslab-ios-liquid-glass-ios-liquid-glass-src
glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src	True	projects/glasslab-apple-liquid-glass-ui-2025-apple-liquid-glass-ui-2025-src
glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src	True	projects/glasslab-pure-css-glassmorphism-liquid-glass-ui-kit-1-pure-css-glassmorphism-liquid-glass-ui-kit-src
glasslab-select-dropdown-with-appearance-base-select-liquid-glass-1-select-dropdown-with-appearance-base-select-liquid-glass-src	True	projects/glasslab-select-dropdown-with-appearance-base-select-liquid-glass-1-select-dropdown-with-appearance-base-select-liquid-glass-src
glasslab-liquid-dom-master-1-liquid-dom-master	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-react	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-react
glasslab-liquid-dom-master-1-liquid-dom-master-demo-minimal	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-minimal
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-three
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-layout	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-layout
glasslab-liquid-dom-master-1-liquid-dom-master-demo-showcase	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-showcase
glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-r3f	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-three-r3f
glasslab-liquid-dom-master-1-liquid-dom-master-demo-blending	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-demo-blending
glasslab-liquid-dom-master-1-liquid-dom-master-packages-core	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-core
glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout
glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout-playground	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-layout-playground
glasslab-liquid-dom-master-1-liquid-dom-master-packages-r3f	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-r3f
glasslab-liquid-dom-master-1-liquid-dom-master-packages-three	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-three
glasslab-liquid-dom-master-1-liquid-dom-master-packages-react	True	projects/glasslab-liquid-dom-master-1-liquid-dom-master-packages-react
glasslab-untitled-6-untitled-src	True	projects/glasslab-untitled-6-untitled-src
glasslab-liquid-glass-js-main-liquid-glass-js-main	True	projects/glasslab-liquid-glass-js-main-liquid-glass-js-main
glasslab-liquid-glass-components-1-liquid-glass-components-src	True	projects/glasslab-liquid-glass-components-1-liquid-glass-components-src
glasslab-liquid-glass-tainwildcss-1-liquid-glass-tainwildcss-src	True	projects/glasslab-liquid-glass-tainwildcss-1-liquid-glass-tainwildcss-src
glasslab-liquid-glass-fluid-movement-1-liquid-glass-fluid-movement-src	True	projects/glasslab-liquid-glass-fluid-movement-1-liquid-glass-fluid-movement-src
glasslab-liquid-glass-react-master-liquid-glass-react-master	True	projects/glasslab-liquid-glass-react-master-liquid-glass-react-master
glasslab-liquid-glass-react-master-liquid-glass-react-master-liquid-glass-example	True	projects/glasslab-liquid-glass-react-master-liquid-glass-react-master-liquid-glass-example
glasslab-apple-liquid-glass-1-apple-liquid-glass-src	True	projects/glasslab-apple-liquid-glass-1-apple-liquid-glass-src
glasslab-liquid-glass-shader-liquid-glass-shader-src	True	projects/glasslab-liquid-glass-shader-liquid-glass-shader-src
glasslab-liquid-glass-5-liquid-glass-src	True	projects/glasslab-liquid-glass-5-liquid-glass-src
glasslab-liquid-glass-2-liquid-glass-src	True	projects/glasslab-liquid-glass-2-liquid-glass-src
glasslab-liquid-glass-switcher-css-1-liquid-glass-switcher-css-src	True	projects/glasslab-liquid-glass-switcher-css-1-liquid-glass-switcher-css-src
glasslab-liquid-glass-4-liquid-glass-src	True	projects/glasslab-liquid-glass-4-liquid-glass-src
glasslab-apple-liquid-glass-experiments-1-apple-liquid-glass-experiments-src	True	projects/glasslab-apple-liquid-glass-experiments-1-apple-liquid-glass-experiments-src
glasslab-codepen-hdshy-rnravzr-liquid-glass-for-web	False	metadata-only/glasslab-codepen-hdshy-rnravzr-liquid-glass-for-web
glasslab-kube-liquid-glass-css-svg	False	metadata-only/glasslab-kube-liquid-glass-css-svg
