project_id	archive_name	original_path	candidate_root	workspace_root	actual_runnable_root	source_type	original_url	original_author	framework	runtime	package_manager	entrypoint	build_command	output_directory	is_html_fragment	is_public_template	is_library	is_backend	has_demo	demo_root	requires_workspace_context	content_hash	should_deploy	classification_reason	vercel_project_name
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glassmorphism-main-glassmorphism-main	glassmorphism-main		/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	/Users/lekan/Dev/glass-projects-lab/originals/glassmorphism-main/glassmorphism-main	github			static-html	browser	npm				False	False	False	False	False		False	196149687a53b4692afd46f94a4a9c1332d65122dffc72a0800a91bc8ee5a7a8	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glassmorphism-main-glassmorphism-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-refraction-master-1-glass-refraction-master	glass-refraction-master-1		/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master	github			react	browser	npm		npm run build	dist	False	False	False	False	False		False	c257900a44f008f3ba306634a2c0ae3efb3a3fe82be00e4097fc35dec8c4674b	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-refraction-master-1-glass-refraction-mas
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-refraction-master-1-glass-refraction-master-examples-vanilla	glass-refraction-master-1		/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	/Users/lekan/Dev/glass-projects-lab/originals/glass-refraction-master-1/glass-refraction-master/examples/vanilla	github			static-html	browser	npm				False	False	False	False	False		False	68820a9a7d5fc2afea9ba95c2d521947896616c65f825020fcc6cbafce11bb32	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-refraction-master-1-glass-refraction-mas
glasslab-Users-lekan-Dev-glass-projects-lab-originals-css-glass-main-css-glass-main	css-glass-main		/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	/Users/lekan/Dev/glass-projects-lab/originals/css-glass-main/css.glass-main	github			static-html	browser	pnpm		pnpm run build	dist	False	False	False	False	False		False	6a93024029c096e0d53a2ccf3fd40dda0885c948a262d8803eecbea7ce723c0d	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-css-glass-main-css-glass-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-slider-button-liquid-glass-apple-ios-262025-slider-button-liquid-glass-apple-ios-262025-src	slider-button-liquid-glass-apple-ios-262025		/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	/Users/lekan/Dev/glass-projects-lab/originals/slider-button-liquid-glass-apple-ios-262025/slider-button-liquid-glass-apple-ios-262025/src	github			html-fragment	browser	npm				False	False	False	False	False		False	3c4e14b4aff47af342db40b8013d245703c6379216905d5449b8b383d980e93f	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-slider-button-liquid-glass-apple-ios-262025-sl
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-model-1-glass-model-src	glass-model-1		/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	/Users/lekan/Dev/glass-projects-lab/originals/glass-model-1/glass-model/src	github			html-fragment	browser	npm				False	False	False	False	False		False	ee63634fb0a1249cf5e904aee409a1569c699f4a2898a4a764232049560af695	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-model-1-glass-model-src
glasslab-Users-lekan-Dev-glass-projects-lab-originals-cross-browser-liquid-toggle-drag-tap-cross-browser-liquid-toggle-drag-tap-src	cross-browser-liquid-toggle-drag-tap		/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	/Users/lekan/Dev/glass-projects-lab/originals/cross-browser-liquid-toggle-drag-tap/cross-browser-liquid-toggle-drag-tap/src	github			html-fragment	browser	npm				False	False	False	False	False		False	1e243f4b27094b869d2b8cb9f688f0a88c1151970d34bb4b6cd59d9a2cab7de0	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-cross-browser-liquid-toggle-drag-tap-cross-bro
glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-effect-wwdc25-liquid-glass-effect-wwdc25-src	liquid-glass-effect-wwdc25		/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect-wwdc25/liquid-glass-effect-wwdc25/src	github			static-html	browser	npm				False	False	False	False	False		False	f5bdee0eb49dc89ec340802f672dcbc364f6abd84c53efa903c968d5b0a93997	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-effect-wwdc25-liquid-glass-effect
glasslab-Users-lekan-Dev-glass-projects-lab-originals-7-css-main-7-css-main	7-css-main		/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	/Users/lekan/Dev/glass-projects-lab/originals/7-css-main/7.css-main	github			static-html	browser	npm		npm run build	dist	False	False	False	False	False		False	70c7b8895468980c0693bb7da438e08fd7220576f4dc95e722757075096a38ba	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-7-css-main-7-css-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-main-liquid-glass-main	liquid-glass-main		/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-main/liquid-glass-main	github			static-html	browser	npm				False	False	False	False	False		False	ef3a17337490fd79ea1b3582794d37f45c92c782aa6d7446abecf3abde6f3cc4	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-main-liquid-glass-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-7-aero-stylesheet-main-7-Aero-Stylesheet-main	7-aero-stylesheet-main		/Users/lekan/Dev/glass-projects-lab/originals/7-aero-stylesheet-main/7-Aero-Stylesheet-main	/Users/lekan/Dev/glass-projects-lab/originals/7-aero-stylesheet-main/7-Aero-Stylesheet-main	/Users/lekan/Dev/glass-projects-lab/originals/7-aero-stylesheet-main/7-Aero-Stylesheet-main	github			static-html	browser	npm				False	False	False	False	False		False	d347872c6942f9677ed67ba8a0ca113b9b94a543634de6f8872faf4ad7f6864b	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-7-aero-stylesheet-main-7-Aero-Stylesheet-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-button-css-only-1-glass-button-css-only-src	glass-button-css-only-1		/Users/lekan/Dev/glass-projects-lab/originals/glass-button-css-only-1/glass-button-css-only/src	/Users/lekan/Dev/glass-projects-lab/originals/glass-button-css-only-1/glass-button-css-only/src	/Users/lekan/Dev/glass-projects-lab/originals/glass-button-css-only-1/glass-button-css-only/src	github			html-fragment	browser	npm				False	False	False	False	False		False	b264017ca784cd3d1d9703c0cc7d143041792407327e995239aaecc15c81e395	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-glass-button-css-only-1-glass-button-css-only-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-pure-css-ios-26-liquid-glass-effect-pure-css-ios-26-liquid-glass-effect-src	pure-css-ios-26-liquid-glass-effect		/Users/lekan/Dev/glass-projects-lab/originals/pure-css-ios-26-liquid-glass-effect/pure-css-ios-26-liquid-glass-effect/src	/Users/lekan/Dev/glass-projects-lab/originals/pure-css-ios-26-liquid-glass-effect/pure-css-ios-26-liquid-glass-effect/src	/Users/lekan/Dev/glass-projects-lab/originals/pure-css-ios-26-liquid-glass-effect/pure-css-ios-26-liquid-glass-effect/src	github			html-fragment	browser	npm				False	False	False	False	False		False	beeaeb70aa3b5cbca732fda318f91de4fae04af11d6767dbc147a685b8b4304e	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-pure-css-ios-26-liquid-glass-effect-pure-css-i
glasslab-Users-lekan-Dev-glass-projects-lab-originals-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos-src	apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos		/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos/src	/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos/src	/Users/lekan/Dev/glass-projects-lab/originals/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos/apple-liquid-glass-from-lucasromerodb-liquid-glass-effect-macos/src	github			html-fragment	browser	npm				False	False	False	False	False		False	a70f9df2f7a8763cf4334a57d5eed4fca3d72c9b98dd58a34965d90042da0ea2	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-apple-liquid-glass-from-lucasromerodb-liquid-g
glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-scroll-drag-configure-chromium-liquid-glass-scroll-drag-configure-chromium-src	liquid-glass-scroll-drag-configure-chromium		/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-scroll-drag-configure-chromium/liquid-glass-scroll-drag-configure-chromium/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-scroll-drag-configure-chromium/liquid-glass-scroll-drag-configure-chromium/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-scroll-drag-configure-chromium/liquid-glass-scroll-drag-configure-chromium/src	github			html-fragment	browser	npm				False	False	False	False	False		False	2c906d1e6582091411029521351ede30b282c45233fc204adaa95100c87142fe	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-scroll-drag-configure-chromium-li
glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquidgl-main-liquidGL-main	liquidgl-main		/Users/lekan/Dev/glass-projects-lab/originals/liquidgl-main/liquidGL-main	/Users/lekan/Dev/glass-projects-lab/originals/liquidgl-main/liquidGL-main	/Users/lekan/Dev/glass-projects-lab/originals/liquidgl-main/liquidGL-main	github			static-html	browser	npm				False	False	False	False	False		False	97703ac400cbb1a9a081a21f3d273efbb49a48d88f48262277dfc5234ce74852	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquidgl-main-liquidGL-main
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-tictactoe (vanilla)	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe (vanilla)	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe (vanilla)	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe (vanilla)	github			static-html	browser	npm				False	False	False	False	False		False	db282624cec7c208abdfb7852effe1821115001b7bdb594b67fa55afca995feb	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-css-if-function	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/css-if-function	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/css-if-function	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/css-if-function	github			static-html	browser	npm				False	False	False	False	False		False	69914860a1b973724f88abc5270bf3bf80e5a670af969953da3ee2c45309cf8d	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-weeklyhow-custom-storefront	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/weeklyhow-custom-storefront	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/weeklyhow-custom-storefront	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/weeklyhow-custom-storefront	github			react	browser	npm		npm run build	dist	False	False	False	False	False		False	1f424e946ff9e7f011ed4aec73a07e0d5de0f4db8c836dde0e50d9ce7c0f3554	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-tictactoe	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe	github			react	browser	npm		npm run build	dist	False	False	False	False	False		False	4580ce971fd8f50deb711948ae2bc7d5f1a344282f197f21d08d2678930c743d	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-tictactoe-public	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe/public	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe/public	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/tictactoe/public	github			static-html	browser	npm				False	True	False	False	False		False	ab1e6112a660e7071a84449a7d530b2fc6e12590e372a0d1d3909ca0b06ea4b6	False	framework `public` directory is not an independent application	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-prime-vue-project	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/prime-vue-project	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/prime-vue-project	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/prime-vue-project	github			vue	browser	npm		npm run build	dist	False	False	False	False	False		False	46fac345d313d1d9818d51a1427f75b05a42c905035f7f26d13902186ce50ec7	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-vuetify-project	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/vuetify-project	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/vuetify-project	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/vuetify-project	github			vue	browser	npm		npm run build	dist	False	False	False	False	False		False	29c60bfdfd2b63dd060601c8ed2965be7289f5f80405323c3d52043a6d9f9e54	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-weeklyhow-instantsearch	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/weeklyhow-instantsearch	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/weeklyhow-instantsearch	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/weeklyhow-instantsearch	github			react	browser	yarn		yarn run build	dist	False	False	False	False	False		False	4d7358fae5023d701b5e0acc86a0596e6ebd89546fbf4d91eafd3198d7991213	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-task-manager-app	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app	github			static-html	browser	npm		npm run build	dist	False	False	False	False	False		False	d74d18dcfe604527228c2e7fa48ed186e34e812f5bc78694e25fab36e287a619	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-task-manager-app-client	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app/client	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app/client	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app/client	github			react	browser	npm		npm run build	dist	False	False	False	False	False		False	b70a26a10a5bf6a5c3db5febbcfc5fb7a819533cb9cb60f74f97f94b47be0f25	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-task-manager-app-client-public	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app/client/public	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app/client/public	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/task-manager-app/client/public	github			static-html	browser	npm				False	True	False	False	False		False	ccb5e745984276dff82a1b6c63bbc88b09da35113d7fa6455c7ff890391c7653	False	framework `public` directory is not an independent application	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-liquid-glass-vue	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/liquid-glass-vue	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/liquid-glass-vue	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/liquid-glass-vue	github			vue	browser	npm		npm run build	dist	False	False	False	False	False		False	95af541f776c153512f91609f3517b5408347c35f50d27f5a1f7ba79ae1f75f5	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-advanced-javascript-class-word-guess-game-app	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/advanced-javascript-class/word-guess-game/app	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/advanced-javascript-class/word-guess-game/app	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/advanced-javascript-class/word-guess-game/app	github			react	browser	npm		npm run build	dist	False	False	False	False	False		False	1354ddbf53753b71a5fe4263f96d1f937b2b4bdbd0da08ad45703afd232f9b4f	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-advanced-javascript-class-word-guess-game-app-public	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/advanced-javascript-class/word-guess-game/app/public	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/advanced-javascript-class/word-guess-game/app/public	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/advanced-javascript-class/word-guess-game/app/public	github			static-html	browser	npm				False	True	False	False	False		False	ab1e6112a660e7071a84449a7d530b2fc6e12590e372a0d1d3909ca0b06ea4b6	False	framework `public` directory is not an independent application	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-movie-instantsearch	frontend-projects-main		/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/movie-instantsearch	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/movie-instantsearch	/Users/lekan/Dev/glass-projects-lab/originals/frontend-projects-main/Frontend-Projects-main/movie-instantsearch	github			react	browser	yarn		yarn run build	dist	False	False	False	False	False		False	e33f52e89e4555d5cd4b67b074e0eafd213e963797c621c1d45af6f5d7197903	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-frontend-projects-main-Frontend-Projects-main-
glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-effect-liquid-glass-effect-src	liquid-glass-effect		/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect/liquid-glass-effect/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect/liquid-glass-effect/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-effect/liquid-glass-effect/src	github			html-fragment	browser	npm				False	False	False	False	False		False	8fb9ee178bf19906239e265ba64726b88045ed256cea2c5c60be0e1d72b4e3c5	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-effect-liquid-glass-effect-src
glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-menu-liquid-glass-menu-src	liquid-glass-menu		/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-menu/liquid-glass-menu/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-menu/liquid-glass-menu/src	/Users/lekan/Dev/glass-projects-lab/originals/liquid-glass-menu/liquid-glass-menu/src	github			html-fragment	browser	npm				False	False	False	False	False		False	09eed3ba8c8c7c1d8609ae5823cad0bb1fbec4fa04bad81ff7e9989bd64c5b2c	True	standalone	glasslab-Users-lekan-Dev-glass-projects-lab-originals-liquid-glass-menu-liquid-glass-menu-src
